comparison,n,wilcoxon_p,median_delta_diff
C7_vs_C4,83,1.6125465615568094e-12,-0.2978229951934377
C7_vs_C5,83,1.556268775646681e-13,-0.44727708723504117
C7_vs_C8,53,0.0004947868791670605,-0.0358517675958514
