pfam_acc,pfam_name,n_anchor_in_dom
PF02655,ATP-grasp domain,2
PF03795,YCII-related domain,2
PF02777,"Iron/manganese superoxide dismutases, C-terminal domain",2
PF01256,NAD(P)H-hydrate dehydratase,2
PF01367,"5'-3' exonuclease, C-terminal SAM fold",2
PF01177,Asp/Glu/Hydantoin racemase,2
PF01150,GDA1/CD39 (nucleoside phosphatase) family,2
PF01042,Endoribonuclease L-PSP,2
PF01510,N-acetylmuramoyl-L-alanine amidase,2
PF01546,Peptidase family M20/M25/M40,2
PF01588,Putative tRNA binding domain,2
PF01012,Electron transfer flavoprotein domain,2
PF01022,"Bacterial regulatory protein, arsR family",2
PF01497,Periplasmic binding protein,2
PF01327,Polypeptide deformylase,2
PF02223,Thymidylate kinase,2
PF01636,Phosphotransferase enzyme family,2
PF01263,Aldose 1-epimerase,2
PF01323,DSBA-like thioredoxin domain,2
PF13417,"Glutathione S-transferase, N-terminal domain",2
PF13462,Thioredoxin,2
PF13532,2OG-Fe(II) oxygenase superfamily,2
PF13535,ATP-grasp domain,2
PF13476,AAA domain,2
PF13393,Histidyl-tRNA synthetase,2
PF13442,"Cytochrome C oxidase, cbb3-type, subunit III",2
PF00268,"Ribonucleotide reductase, small chain",2
PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2
PF13460,NAD(P)H-binding,2
PF00227,Proteasome subunit,2
PF00179,Ubiquitin-conjugating enzyme,2
PF00239,"Resolvase, N terminal domain",2
PF00056,"lactate/malate dehydrogenase, NAD binding domain",2
PF00071,Ras family,2
PF00069,Protein kinase domain,2
PF00067,Cytochrome P450,2
PF00017,SH2 domain,2
PF11967,Recombination protein O N terminal,1
PF11969,Scavenger mRNA decapping enzyme C-term binding,1
PF12641,Flavodoxin domain,1
PF09380,FERM C-terminal PH-like domain,1
PF09850,Type VI secretion system protein DotU,1
PF10396,GTP-binding protein TrmE N-terminus,1
PF10400,Virulence activator alpha C-term,1
PF10457,Cholesterol-capturing domain,1
PF12728,Helix-turn-helix domain,1
PF12840,Helix-turn-helix domain,1
PF12850,Calcineurin-like phosphoesterase superfamily domain,1
PF12974,"ABC transporter, phosphonate, periplasmic substrate-binding protein",1
PF11501,Betacoronavirus replicase NSP1,1
PF11563,Protoglobin,1
PF11706,CGNR zinc finger,1
PF11798,IMS family HHH motif,1
PF00117,Glutamine amidotransferase class-I,1
PF00120,"Glutamine synthetase, catalytic domain",1
PF00121,Triosephosphate isomerase,1
PF00128,"Alpha amylase, catalytic domain",1
PF00105,"Double treble clef zinc finger, C4 type",1
PF00485,Phosphoribulokinase / Uridine kinase family,1
PF00532,Periplasmic binding proteins and sugar binding domain of LacI family,1
PF00412,LIM domain,1
PF00183,Hsp90 protein,1
PF00188,Cysteine-rich secretory protein family,1
PF00208,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,1
PF00134,"Cyclin, N-terminal domain",1
PF00142,"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",1
PF00145,C-5 cytosine-specific DNA methylase,1
PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,1
PF00112,Papain family cysteine protease,1
PF01380,SIS domain,1
PF01381,Helix-turn-helix,1
PF01391,Collagen triple helix repeat (20 copies),1
PF01258,Prokaryotic dksA/traR C4-type zinc finger,1
PF01272,"Transcription elongation factor, GreA/GreB, C-term",1
PF01312,FlhB HrpN YscU SpaS Family,1
PF01746,tRNA (Guanine-1)-methyltransferase TrmD,1
