protein,target_layer,target_head,source_layer,source_head,source_group,upstream_mode,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,26,16,11,1,,free,0.25,0.5700075030326843,0.0037869811058044434,0.0156278728837896,8.231175422668457,174.2942657470703,186.4915313720703,80.46744537353516,55.29010772705078
2B61A,26,16,22,14,,free,0.25,0.5211206674575806,0.0526738166809082,0.21737095813114893,48.005088806152344,173.1436004638672,185.86083984375,80.80391693115234,55.29010772705078
2B61A,26,16,14,9,,free,0.25,0.564935028553009,0.008859455585479736,0.03656063810227174,22.531055450439453,174.7320556640625,186.74679565429688,81.41397857666016,55.29010772705078
