protein,base_setup,variant,alpha,anchor_positions,segment_metric,faithfulness,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1BRTA,clean,v_only,12.0,"[220, 93, 108]",0.008056141436100006,-0.009958192026596582,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,14.0,"[220, 93, 108]",0.007976685650646687,-0.010068321373168827,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,16.0,"[220, 93, 108]",0.008084855042397976,-0.009918393657210556,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,32.0,"[220, 93, 108]",0.008089017122983932,-0.009912624823478723,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1IN4A,clean,clean_baseline,nan,"[55, 106, 151]",0.9656463861465454,1.0,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,corrupt,corrupt_baseline,nan,"[55, 151, 106]",0.37357404828071594,0.0,0.13912363350391388,0.12060534954071045,0.06000080332159996,7.580066680908203,0.9041428963224211
1IN4A,clean,corrupt_head_patch,nan,"[55, 106, 151]",0.9643988013267517,0.9978928506873151,0.13912363350391388,0.12060534954071045,0.06000080332159996,7.580066680908203,0.9041428963224211
1IN4A,clean,ln_all,0.0,"[55, 106, 151]",0.9656463861465454,1.0,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,ln_all,0.5,"[55, 106, 151]",0.9551492929458618,0.9822705900455996,0.0964173823595047,0.023505140095949173,0.026798950508236885,7.860213279724121,0.937558507017016
1IN4A,clean,ln_all,1.0,"[55, 106, 151]",0.9442991018295288,0.9639448037819761,0.09698165953159332,0.003987287171185017,0.027782462537288666,7.864082336425781,0.9380200042939576
1IN4A,clean,ln_all,2.0,"[55, 106, 151]",0.9282493591308594,0.936837064284262,0.09758366644382477,0.0001617569796508178,0.028619036078453064,7.849358558654785,0.936263766566893
1IN4A,clean,ln_all,4.0,"[55, 106, 151]",0.9201216101646423,0.923109436009119,0.09760031849145889,6.107714511927043e-07,0.03090314008295536,7.840083122253418,0.9351574016382429
1IN4A,clean,ln_all,8.0,"[55, 106, 151]",0.6052713394165039,0.391332741487229,0.09760034084320068,2.3997208734027886e-11,0.03459138050675392,7.830400466918945,0.9340024640358796
1IN4A,clean,ln_all,10.0,"[55, 106, 151]",0.01604313589632511,-0.603863564498113,0.09760034084320068,1.9662934746134814e-13,0.03529778867959976,7.8286285400390625,0.9337911103408938
1IN4A,clean,ln_all,12.0,"[55, 106, 151]",0.010648281313478947,-0.6129753811424985,0.09760034084320068,1.8443657500100087e-15,0.03563819080591202,7.827752113342285,0.9336865710267431
1IN4A,clean,ln_all,14.0,"[55, 106, 151]",0.009573450312018394,-0.6147907522259287,0.09760034084320068,1.9091399675256558e-17,0.03580122068524361,7.827322959899902,0.9336353820263429
1IN4A,clean,ln_all,16.0,"[55, 106, 151]",0.0077248853631317616,-0.6179129466448573,0.09760034084320068,2.110284437934531e-19,0.03587993606925011,7.827113151550293,0.9336103562928139
1IN4A,clean,ln_all,32.0,"[55, 106, 151]",0.007841666229069233,-0.6177157057699357,0.09760034084320068,1.0398923530828016e-34,0.0359567366540432,7.826909065246582,0.9335860130792902
