protein,context,alpha,layer,head,label,context_metric,delta_metric_from_context_baseline,clean_top3_mass,ablated_top3_mass,delta_top3_mass,clean_entropy_norm,ablated_entropy_norm,clean_cos_to_clean_l10h9,ablated_cos_to_clean_l10h9,delta_cos_to_clean_l10h9,clean_anchor_mass_to_clean_l10h9_top3,ablated_anchor_mass_to_clean_l10h9_top3,delta_anchor_mass_to_clean_l10h9_top3,keydist_jsd,is_known_anchor_head
2B61A,full,2.0,22,10,L22H10,1.0032891035079956,0.0032891035079956055,0.13858050107955933,0.13861693441867828,3.643333911895752e-05,0.8786360820044774,0.8786753614706074,0.06274617463350296,0.06285639852285385,0.00011022388935089111,0.01771683618426323,0.017788510769605637,7.167458534240723e-05,1.3087102160600866e-05,False
2B61A,full,2.0,22,11,L22H11,1.0032891035079956,0.0032891035079956055,0.09939918667078018,0.09938029199838638,-1.8894672393798828e-05,0.9231328641165378,0.923085673041627,0.05284697934985161,0.05272730439901352,-0.00011967495083808899,0.007689367979764938,0.0076835863292217255,-5.781650543212891e-06,7.196534446773191e-06,False
2B61A,full,2.0,22,12,L22H12,1.0032891035079956,0.0032891035079956055,0.0841301828622818,0.08351166546344757,-0.0006185173988342285,0.9037895378030393,0.904349590559832,0.4281664192676544,0.4248385727405548,-0.0033278465270996094,0.052449408918619156,0.05190815031528473,-0.0005412586033344269,1.0982096948612452e-05,False
2B61A,full,2.0,22,13,L22H13,1.0032891035079956,0.0032891035079956055,0.09103982150554657,0.09152142703533173,0.00048160552978515625,0.907984640501279,0.9077129714561017,0.11431421339511871,0.11344695091247559,-0.0008672624826431274,0.014882748946547508,0.014810534194111824,-7.22147524356842e-05,8.987638719814249e-06,False
2B61A,full,2.0,22,14,L22H14,1.0032891035079956,0.0032891035079956055,0.04750064015388489,0.04777281731367111,0.00027217715978622437,0.9558946132155953,0.9556476818767469,0.24352769553661346,0.2461738884449005,0.0026461929082870483,0.026001427322626114,0.026331720873713493,0.00033029355108737946,8.56067976378099e-06,False
2B61A,full,2.0,22,15,L22H15,1.0032891035079956,0.0032891035079956055,0.07281483709812164,0.07272496819496155,-8.986890316009521e-05,0.9457590623496285,0.9458299325353268,0.02615875005722046,0.026206761598587036,4.801154136657715e-05,0.0036519679706543684,0.0036675159353762865,1.5547964721918106e-05,5.8063809277663615e-06,False
2B61A,full,2.0,22,16,L22H16,1.0032891035079956,0.0032891035079956055,0.03588074445724487,0.03602631017565727,0.0001455657184123993,0.9669636224865866,0.9668518570836693,0.14500457048416138,0.1452670842409134,0.00026251375675201416,0.02150411531329155,0.021578367799520493,7.425248622894287e-05,4.826151525374514e-06,False
2B61A,full,2.0,22,17,L22H17,1.0032891035079956,0.0032891035079956055,0.25762706995010376,0.25921642780303955,0.001589357852935791,0.7894003222636656,0.788513832071333,0.060391247272491455,0.06027797982096672,-0.0001132674515247345,0.022997021675109863,0.023009177297353745,1.2155622243881226e-05,8.87220191265098e-06,False
2B61A,full,2.0,22,18,L22H18,1.0032891035079956,0.0032891035079956055,0.06230060011148453,0.06247358024120331,0.00017298012971878052,0.9551480247813512,0.95504539672942,0.13321132957935333,0.13323338329792023,2.205371856689453e-05,0.020704597234725952,0.020755652338266373,5.105510354042053e-05,8.731753763393886e-06,False
2B61A,full,2.0,22,19,L22H19,1.0032891035079956,0.0032891035079956055,0.06907319277524948,0.06940516084432602,0.0003319680690765381,0.9430971960037741,0.9430657724308701,0.04350859671831131,0.04372434318065643,0.0002157464623451233,0.008107630535960197,0.008139758370816708,3.212783485651016e-05,1.4410010844737664e-05,False
