feature,coefficient,abs_coefficient
aa_14_F,0.844699,0.844699
aa_-14_N,-0.843653,0.843653
aa_-8_E,-0.841285,0.841285
aa_26_Y,0.841191,0.841191
cnt_center_-2,-0.839416,0.839416
aa_10_R,-0.838620,0.838620
aa_-24_W,0.835830,0.835830
aa_21_I,0.831889,0.831889
aa_-4_Y,-0.828356,0.828356
sse_trans_25,0.827590,0.827590
lrf_14,0.818836,0.818836
aa_22_M,0.816508,0.816508
cnt_center_13,0.815719,0.815719
aa_-4_D,0.808187,0.808187
aa_-16_M,-0.807630,0.807630
aa_20_N,-0.804374,0.804374
aa_-22_Y,0.802014,0.802014
aa_12_Q,0.794766,0.794766
aa_14_H,-0.793640,0.793640
aa_-3_Q,-0.793556,0.793556
aa_25_Y,-0.790103,0.790103
lrf_-8,0.787736,0.787736
aa_1_G,-0.785409,0.785409
aa_19_F,-0.780272,0.780272
aa_16_K,0.778273,0.778273
aa_-25_H,0.777293,0.777293
rsa_-5,0.775840,0.775840
sse_trans_-24,0.775142,0.775142
aa_30_T,-0.774067,0.774067
aa_-24_T,-0.773814,0.773814
cnt_center_10,-0.773462,0.773462
aa_-18_Y,0.772830,0.772830
aa_29_R,0.770328,0.770328
aa_0_A,-0.766592,0.766592
aa_9_C,0.765252,0.765252
cnt_center_3,0.763661,0.763661
aa_27_W,-0.758677,0.758677
aa_19_D,-0.756746,0.756746
charge_19,0.748814,0.748814
sse_7_E,-0.747597,0.747597
sse_-10_E,-0.739505,0.739505
aa_7_C,0.739047,0.739047
aa_-28_P,0.738590,0.738590
aa_-8_D,0.738514,0.738514
flex_-28,0.731034,0.731034
aa_2_V,0.724699,0.724699
aa_6_G,0.723689,0.723689
aa_-24_C,0.721089,0.721089
aa_9_D,-0.718880,0.718880
sse_trans_10,0.716543,0.716543
aa_20_I,-0.708525,0.708525
aa_-20_P,0.705414,0.705414
aa_21_D,-0.705057,0.705057
aa_24_T,-0.698551,0.698551
aa_-16_Q,0.694208,0.694208
flex_-9,0.688985,0.688985
aa_1_T,0.686836,0.686836
aa_-5_E,0.684888,0.684888
aa_5_N,0.683273,0.683273
aa_-3_W,0.681953,0.681953
aa_4_N,0.677475,0.677475
aa_-21_F,0.676592,0.676592
rsa_-30,0.673470,0.673470
cnt_center_9,-0.669508,0.669508
aa_9_S,0.666656,0.666656
aa_-17_L,-0.662463,0.662463
aa_-9_K,0.662440,0.662440
