property,eigenvector,spearman_rho,p_value
RSA,1,0.021728562826695243,0.6143909654053056
RSA,2,0.06802070658947663,0.11437630934961189
RSA,3,-0.029153968456087656,0.49900838616196885
RSA,4,0.011690304211678288,0.7863619028216661
RSA,5,-0.005326143909442432,0.9017250555497005
RSA,6,0.07550950686662179,0.07958145097891711
RSA,7,-0.003046112824519856,0.9436990784398567
RSA,8,0.021219418648251106,0.6227140495844691
RSA,9,0.02560344239698581,0.5527202415519087
RSA,10,0.0030548650706648255,0.9435375809288699
contacts_8A,1,-0.178840805005957,2.915088618240355e-05
contacts_8A,2,-0.13253564982408444,0.0020263769637676615
contacts_8A,3,-0.07864807289205548,0.06781855756766775
contacts_8A,4,-0.053237850195761424,0.21677651033629936
contacts_8A,5,-0.25323715935636537,2.3926433678094285e-09
contacts_8A,6,0.04832189709357948,0.2623081907776004
contacts_8A,7,0.1886805438920397,1.014370724147607e-05
contacts_8A,8,0.012888272629521346,0.7650813695819145
contacts_8A,9,-0.04381443956458269,0.30949402123190245
contacts_8A,10,0.24468792230656783,8.378932387494353e-09
long_range_frac,1,-0.2650746093923157,3.904772667594794e-10
long_range_frac,2,-0.28486155416998343,1.535808049727492e-11
long_range_frac,3,-0.05688007040755813,0.18690877260008515
long_range_frac,4,0.012053016086476505,0.7799011203323869
long_range_frac,5,-0.126437668076624,0.0032488338884708533
long_range_frac,6,-0.028792212051124286,0.5043515771431357
long_range_frac,7,0.13225724551886311,0.002071409206741311
long_range_frac,8,-0.025875995492182204,0.5484989860011544
long_range_frac,9,-0.03628539246636272,0.4000569427963492
long_range_frac,10,0.20491637984266867,1.5721462420737801e-06
is_helix,1,0.15007158255719996,2.7634169835175335e-05
is_helix,2,0.19158959457965022,7.812463488220323e-08
is_helix,3,0.10197887068368715,0.0045119039344152425
is_helix,4,-0.027790282240833658,0.4400854160278569
is_helix,5,0.16380945848056205,4.629087702863924e-06
is_helix,6,-0.08714521145181463,0.01530201971677413
is_helix,7,-0.002810481263494313,0.9377773206125964
is_helix,8,0.048650749669513466,0.1763373536359314
is_helix,9,-0.08734813428672397,0.015064705392174678
is_helix,10,-0.03554193453437032,0.3233873221902255
is_strand,1,-0.24439028028762527,5.464901679135606e-12
is_strand,2,-0.31055122389823286,9.11524925697248e-19
is_strand,3,-0.12822036052064295,0.00034861674186476065
is_strand,4,-0.017274416241480663,0.6313353937258057
is_strand,5,-0.238135628554911,1.9301838336307958e-11
is_strand,6,0.16127259462060717,6.5122367885282455e-06
is_strand,7,0.046825174879338474,0.19314728740010223
is_strand,8,-0.05567769550329301,0.12169494505645768
is_strand,9,0.011895133374292979,0.7410904688153876
is_strand,10,0.1768880456733882,7.333168981836803e-07
