feature,coefficient,abs_coefficient
cnt_center_-24,0.107986,0.107986
c8a_13,-0.104876,0.104876
rsa_-8,0.104594,0.104594
c8a_25,-0.104494,0.104494
c8a_-28,0.102220,0.102220
c8a_-12,0.100158,0.100158
cnt_center_-30,-0.098183,0.098183
cnt_center_5,-0.096210,0.096210
rsa_-4,-0.095291,0.095291
lrf_24,-0.090677,0.090677
cnt_center_-9,0.087664,0.087664
c8a_26,-0.086228,0.086228
cnt_center_-12,-0.084939,0.084939
cnt_center_28,-0.082842,0.082842
c8a_18,-0.082478,0.082478
cnt_center_-2,-0.082114,0.082114
rsa_-13,0.080751,0.080751
c8a_-22,0.073493,0.073493
c8a_7,0.072626,0.072626
cnt_center_-17,0.069413,0.069413
c8a_20,0.068706,0.068706
c8a_-6,-0.067161,0.067161
c8a_14,0.065935,0.065935
c8a_27,0.063021,0.063021
c8a_-3,0.061572,0.061572
cnt_center_-18,-0.061054,0.061054
c8a_2,0.060599,0.060599
c8a_-14,-0.060393,0.060393
rsa_-30,0.059350,0.059350
c8a_4,0.059191,0.059191
cnt_center_-16,-0.057845,0.057845
contact_spread,-0.057200,0.057200
c8a_-17,0.056575,0.056575
c8a_19,-0.054578,0.054578
cnt_center_22,0.053926,0.053926
c8a_10,-0.047987,0.047987
c8a_17,0.047411,0.047411
rsa_8,-0.045590,0.045590
max_degree_window,0.045254,0.045254
lrf_4,0.044023,0.044023
rsa_-7,0.043740,0.043740
lrf_-26,0.043186,0.043186
cnt_center_25,0.041975,0.041975
c8a_-5,0.041181,0.041181
c8a_-23,-0.040109,0.040109
c8a_-16,0.039972,0.039972
c8a_-26,-0.038006,0.038006
c8a_29,-0.037537,0.037537
cnt_center_15,0.034779,0.034779
c8a_-29,0.034681,0.034681
c8a_23,0.032775,0.032775
cnt_center_30,-0.027924,0.027924
c8a_21,-0.026310,0.026310
c8a_12,0.026222,0.026222
contact_span,0.026221,0.026221
c8a_30,0.024330,0.024330
c8a_-8,-0.024242,0.024242
c8a_28,-0.022567,0.022567
sse_seg_len,-0.021682,0.021682
c8a_15,0.021377,0.021377
c8a_6,-0.021013,0.021013
c8a_-10,0.020372,0.020372
c8a_5,-0.018889,0.018889
c8a_-7,-0.018859,0.018859
cnt_center_-23,-0.018394,0.018394
c8a_11,0.017053,0.017053
c8a_-20,0.016814,0.016814
c8a_16,-0.015507,0.015507
c8a_-1,-0.014562,0.014562
c8a_8,0.013363,0.013363
c8a_-27,0.012212,0.012212
c8a_-2,0.012205,0.012205
c8a_-19,-0.010948,0.010948
c8a_-25,-0.010678,0.010678
lrf_12,-0.010423,0.010423
c8a_9,0.010281,0.010281
c8a_-11,-0.008950,0.008950
c8a_24,0.008609,0.008609
c8a_-24,-0.007947,0.007947
c8a_22,0.007029,0.007029
c8a_-9,0.005188,0.005188
c8a_-30,-0.005003,0.005003
n_sse_transitions_window,0.004666,0.004666
c8a_-13,0.004559,0.004559
cnt_center_19,0.004002,0.004002
c8a_-15,0.003531,0.003531
n_sse_segments_window,-0.003395,0.003395
c8a_3,-0.002044,0.002044
dist_nterm,-0.002034,0.002034
dist_cterm,-0.000144,0.000144
cnt_center_0,0.000000,0.000000
n_flank_contacting_center,0.000000,0.000000
