mode,alphabet,label,n,mcs,n_clusters,n_noise,nmi,ari
top3,aa,pfam,207,17,2,83,0.09224552428635654,0.01780017148540205
top3,3di,pfam,207,17,3,37,0.3133495578242822,0.09500587091938864
top3,aa,set,207,17,2,83,0.02877723754637374,0.011956675960613835
top3,3di,set,207,17,3,37,0.41461176099583036,0.24482184543034785
