perm,dR2_AA,dR2_3Di
0,1.2647834426005033e-05,9.48995930527552e-06
1,2.0950097101568588e-07,0.0016042092726574753
2,0.00010985315732425782,0.00044784152898802443
3,1.8868512152714345e-07,9.385453266963495e-05
4,3.075784147232863e-05,3.6146503145317865e-05
5,0.00030243732316614924,3.32953825911142e-05
6,0.0001995697891278292,0.0016957388773657378
7,0.0005003400236229805,0.0002622564140780659
8,0.00018943609760968538,1.265889685320154e-05
9,4.4273088369295444e-05,0.0006712875121712703
10,3.3054957793154927e-07,8.782544178409513e-05
11,5.401487858547327e-06,0.00417231648055072
12,5.235840932815705e-06,4.0830946068659557e-07
13,0.0002682993409158785,0.00019089312934650327
14,0.00047166087044359095,0.0030039747527816907
15,0.00023512762311328483,0.00015211603760656445
16,2.1576513432153277e-05,0.0003648223738887957
17,1.6510367957245364e-05,0.00012618198073033327
18,5.909880134913337e-05,0.00017102282832603954
19,4.945917793319765e-06,0.00024762915066456337
20,4.747549458228306e-06,0.00020020248766194904
21,0.00023498887100381616,0.000792416126168094
22,0.0001626402070024069,1.5850983438037147e-05
23,1.395507419732489e-05,0.001108295777008661
24,0.0002119522114176764,0.0002590163988411831
25,9.28851292002486e-05,0.000608505529655412
26,2.9688330327348744e-05,1.6250348854440766e-05
27,2.3282949315528434e-05,0.0004013677464116405
28,6.258381277579605e-05,3.249695314744283e-05
29,7.969355087600327e-05,0.0001900040180474738
30,1.1961024076745375e-06,4.686555373889512e-06
31,9.360600694052756e-05,0.0007500288573133451
32,2.4790429980603435e-05,3.6979768291645065e-05
33,2.497756310337884e-06,2.1863999273952217e-05
34,0.0015395290664146355,0.0022873799128270145
35,0.003123387336504191,0.00029184286229688716
36,0.0014797227647236344,0.001617133177034935
37,9.90668712386178e-06,9.479009384771864e-05
38,0.0004564799077793058,0.002805452545310727
39,0.00013969181025541566,0.00015948599726811619
40,0.0004575540055293814,0.0001545561170608334
41,0.00012760557649738047,2.9328099059644508e-05
42,0.0001224937984275476,0.0009166397007657201
43,7.856236528525073e-05,0.00030855458971079663
44,0.0005589995685180149,0.0004282936011333893
45,2.6438982138499156e-05,0.0005504937356849426
46,2.7892286328823346e-05,0.0009738126769646138
47,0.0009750887244756035,2.3522917252605247e-05
48,0.00032853673313992804,3.790016086868686e-05
49,2.586564535733693e-05,2.5884886310167943e-05
50,0.0007626158892592994,0.00070708639313799
51,0.000192485552994337,9.197866181476222e-06
52,0.0004205817138703827,0.00030639839009094505
53,0.0002385791442313101,0.0009535950887442635
54,4.4258636535787765e-05,0.0001672892607974541
55,0.0005049661701059804,0.003300276746343034
56,0.00010696233128604238,0.00017613801285931707
57,0.00013914107704082745,5.853348086004573e-06
58,0.0008549150023003937,0.00010765420048952645
59,2.682240329032748e-05,1.846752336387425e-06
60,2.074111612682117e-06,8.617693620283084e-05
61,0.00032786335412027245,0.00012768470994484193
62,0.0009101408906665442,8.715173914075613e-05
63,0.0007322468421461226,0.000161791793934718
64,5.87199837278618e-05,5.830104809134706e-05
65,2.4947164567135083e-05,2.5940219130493603e-06
66,0.00010001434978401669,0.0003991492650906592
67,0.0002536814161810952,3.150051740963278e-05
68,0.0012324546575778195,0.0007603325304270658
69,0.00011133385530459616,0.00011675050581827495
70,0.00013175729427494787,0.00010009134802591024
71,0.00025842221417105016,1.3412910001786571e-05
72,2.4156011917408904e-06,4.423014885279741e-05
73,0.00040477423682871994,0.0009591077259890612
74,0.0007110596590728102,0.0008263477285698206
75,6.044796959314702e-05,0.00020163874209244703
76,2.227264708110077e-05,0.0005865807663383293
77,0.0003958418488834159,0.0005692033217746806
78,0.0005433632561383517,0.0005544519578437601
79,0.0014282654425371577,1.0668317090178903e-05
80,0.0005434518504914276,0.00022928023203094838
81,0.000195296161694003,6.985936135128767e-07
82,0.0002102721362334803,1.659783945950899e-06
83,0.0014542844064583393,6.363750530957724e-05
84,0.00041746284653809695,0.0003293826845691683
85,0.0003003557752482289,0.00013367565248056934
86,0.00023706480749763337,0.0017647367155474436
87,0.0003509726778649913,0.0015388742438402492
88,0.0006431753284998898,0.0006492348055308073
89,0.0005111191556889105,1.2197404037128656e-05
90,7.204736163557435e-06,3.4124353287534603e-07
91,0.0003004393050510812,0.0007678154363248701
92,0.0002654584324808251,0.00012039155044263339
93,0.003405515383308022,0.0018544285416564055
94,4.371474093423089e-05,0.0006313267835382774
95,0.0005312960392029886,4.231131530885168e-05
96,0.00032767144653522706,0.0003957461430171838
97,1.0021868229959097e-05,2.5217032863622535e-05
98,0.0003041426824526017,0.00028434908887509103
99,0.00018415409987659892,3.0824846122268212e-06
