mode,stratum,tm_range,model,n,r2,params,se
top1,within_or_cross_pfam_same_hsf,all,M1_3Di,2787,0.4261904639709754,"{""Intercept"": 6.133872868993801, ""tm"": 4.940789915448468, ""d_3di"": -11.897515456245255}","{""Intercept"": 0.8350213742749408, ""tm"": 0.788529667496233, ""d_3di"": 1.0013469656575253}"
top1,within_or_cross_pfam_same_hsf,all,M2,2787,0.4265283474418158,"{""Intercept"": 6.955099756613128, ""tm"": 4.847911239040167, ""d_aa"": -1.0906302278878008, ""d_3di"": -11.639142752700364}","{""Intercept"": 1.1960480033745955, ""tm"": 0.7951093904553594, ""d_aa"": 1.4549896968255658, ""d_3di"": 1.1291792194501855}"
top1,within_or_cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,2787,,"{""lo"": 0.021831587035755932, ""hi"": 0.07853843008054187}",
top1,within_or_cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,2787,,"{""lo"": 0.13700823263597284, ""hi"": 0.25005100347975384}",
top1,within_or_cross_pfam_same_hsf,tm03_08,M0,1606,0.11012286898946055,"{""Intercept"": -3.8020356981203873, ""tm"": 6.1564443376073825}","{""Intercept"": 0.39834645423510223, ""tm"": 0.7165260212732125}"
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,1606,0.16329996269896052,"{""Intercept"": 5.02190675398052, ""tm"": 5.003168327644053, ""d_aa"": -9.219930191601964}","{""Intercept"": 1.1917569701876305, ""tm"": 0.7635898842939998, ""d_aa"": 1.1724171836386246}"
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,1606,0.34095746813686056,"{""Intercept"": 7.168154618285746, ""tm"": 4.057824868314762, ""d_3di"": -12.432816341571945}","{""Intercept"": 1.1382913271827995, ""tm"": 0.8527532006308841, ""d_3di"": 1.1166854035345235}"
top1,within_or_cross_pfam_same_hsf,tm03_08,M2,1606,0.3409575953986418,"{""Intercept"": 7.157546336570103, ""tm"": 4.05854685636279, ""d_aa"": 0.015854336012497118, ""d_3di"": -12.43781971387783}","{""Intercept"": 1.4167748628292829, ""tm"": 0.8494523074367364, ""d_aa"": 1.5245420309616533, ""d_3di"": 1.2636543531296835}"
top1,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_AA_vs_M0_CI,1606,,"{""lo"": 0.022079031140957144, ""hi"": 0.09383900319807373}",
top1,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_3Di_vs_M0_CI,1606,,"{""lo"": 0.15058872402059995, ""hi"": 0.3217759663315081}",
