protein,target_layer,target_head,source_layer,source_head,source_group,upstream_mode,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,11,1,10,9,,free,0.25,0.4951852560043335,0.07860922813415527,0.3243995653663117,20.036508560180664,157.99481201171875,154.20455932617188,57.38375473022461,23.772987365722656
2B61A,11,6,10,9,,free,0.25,0.5696749687194824,0.004119515419006348,0.017000154347843466,19.102401733398438,155.62078857421875,160.10726928710938,64.47267150878906,24.592470169067383
2B61A,11,16,10,9,,free,0.25,0.5937482118606567,-0.01995372772216797,-0.08234377507768124,31.295669555664062,175.29598999023438,184.57850646972656,89.2950439453125,40.649444580078125
2B61A,12,3,10,9,,free,0.25,0.5664248466491699,0.007369637489318848,0.030412551492838814,16.86158561706543,140.06033325195312,173.30946350097656,48.3096809387207,25.700336456298828
2B61A,12,3,11,1,,free,0.25,0.5716267824172974,0.0021677017211914062,0.00894553365920611,17.3115234375,140.46646118164062,173.02252197265625,49.05564880371094,25.700336456298828
2B61A,12,3,11,6,,free,0.25,0.5721422433853149,0.0016522407531738281,0.006818362104960223,18.554893493652344,140.40321350097656,173.2353057861328,48.963478088378906,25.700336456298828
2B61A,12,3,11,16,,free,0.25,0.5708461403846741,0.0029483437538146973,0.01216703757293858,23.996837615966797,139.7177276611328,173.24307250976562,48.532466888427734,25.700336456298828
2B61A,13,8,10,9,,free,0.25,0.5697382688522339,0.004056215286254883,0.016738931384082,14.051597595214844,156.48902893066406,134.46136474609375,37.49828338623047,41.93424606323242
2B61A,13,8,11,1,,free,0.25,0.5738452672958374,-5.078315734863281e-05,-0.00020956870539055232,13.762699127197266,156.6824951171875,134.6213836669922,38.00046920776367,41.93424606323242
2B61A,13,8,11,6,,free,0.25,0.5717300772666931,0.0020644068717956543,0.008519263041316642,15.50885009765625,156.51499938964844,134.7881317138672,37.70515441894531,41.93424606323242
2B61A,13,8,11,16,,free,0.25,0.5731133222579956,0.0006811618804931641,0.002810975546013183,18.693172454833984,156.33804321289062,134.64724731445312,38.40729904174805,41.93424606323242
2B61A,13,8,12,3,,free,0.25,0.5659032464027405,0.007891237735748291,0.03256505823095234,27.084386825561523,156.42251586914062,133.93582153320312,36.95835876464844,41.93424606323242
2B61A,13,18,10,9,,free,0.25,0.5697612166404724,0.004033267498016357,0.016644231910402,15.948077201843262,175.4710235595703,180.26565551757812,51.849952697753906,50.12234878540039
2B61A,13,18,11,1,,free,0.25,0.5727704167366028,0.0010240674018859863,0.004226056252717229,19.269325256347656,175.32398986816406,180.26763916015625,52.775184631347656,50.12234878540039
2B61A,13,18,11,6,,free,0.25,0.5716829895973206,0.002111494541168213,0.00871358144185483,18.394851684570312,175.4427490234375,180.35862731933594,52.27027130126953,50.12234878540039
2B61A,13,18,11,16,,free,0.25,0.5708690285682678,0.0029254555702209473,0.012072584071917487,25.015275955200195,175.20401000976562,180.18360900878906,52.11669921875,50.12234878540039
2B61A,13,18,12,3,,free,0.25,0.5667442679405212,0.007050216197967529,0.02909438401374495,33.13078689575195,174.63951110839844,180.79869079589844,50.12004470825195,50.12234878540039
2B61A,14,0,10,9,,free,0.25,0.5692641139030457,0.004530370235443115,0.018695643885703883,16.94053840637207,158.6043243408203,134.116943359375,49.348880767822266,52.754310607910156
2B61A,14,0,11,1,,free,0.25,0.5718653798103333,0.0019291043281555176,0.007960905105592988,16.4510555267334,158.54354858398438,134.07298278808594,49.97462463378906,52.754310607910156
2B61A,14,0,11,6,,free,0.25,0.570962131023407,0.002832353115081787,0.011688374778701473,18.797643661499023,158.63201904296875,134.06582641601562,49.83347702026367,52.754310607910156
2B61A,14,0,11,16,,free,0.25,0.5710524320602417,0.0027420520782470703,0.011315726200454188,22.817108154296875,158.44577026367188,133.91896057128906,49.66798782348633,52.754310607910156
2B61A,14,0,12,3,,free,0.25,0.5687705874443054,0.00502389669418335,0.020732297501471222,30.571956634521484,158.29075622558594,134.33828735351562,47.77913284301758,52.754310607910156
2B61A,14,0,13,8,,free,0.25,0.5672978162765503,0.0064966678619384766,0.02681003593045615,38.972267150878906,158.3401641845703,134.95248413085938,47.70491027832031,52.754310607910156
2B61A,14,0,13,18,,free,0.25,0.5661131143569946,0.007681369781494141,0.0316989884989334,40.327999114990234,157.9459991455078,134.52645874023438,47.78845977783203,52.754310607910156
2B61A,14,9,10,9,,free,0.25,0.5692089200019836,0.004585564136505127,0.01892341456785371,14.472034454345703,175.0790252685547,173.7288360595703,64.47201538085938,48.90373992919922
2B61A,14,9,11,1,,free,0.25,0.5721674561500549,0.0016270279884338379,0.006714315670241674,16.095273971557617,175.21038818359375,173.80105590820312,64.5156478881836,48.90373992919922
2B61A,14,9,11,6,,free,0.25,0.5750858187675476,-0.0012913346290588379,-0.005328997655265629,16.183744430541992,175.1913604736328,173.84341430664062,64.77532196044922,48.90373992919922
2B61A,14,9,11,16,,free,0.25,0.5745354890823364,-0.0007410049438476562,-0.003057932095557918,18.919771194458008,175.08786010742188,173.27703857421875,64.67485046386719,48.90373992919922
2B61A,14,9,12,3,,free,0.25,0.5605751872062683,0.013219296932220459,0.05455255421083669,25.302928924560547,175.01132202148438,172.69700622558594,63.26566696166992,48.90373992919922
2B61A,14,9,13,8,,free,0.25,0.5619680881500244,0.011826395988464355,0.04880441914478996,34.48863983154297,175.77133178710938,173.8673095703125,64.90473175048828,48.90373992919922
