protein,context,alpha,layer,head,label,context_metric,delta_metric_from_context_baseline,clean_top3_mass,ablated_top3_mass,delta_top3_mass,clean_entropy_norm,ablated_entropy_norm,clean_cos_to_clean_l10h9,ablated_cos_to_clean_l10h9,delta_cos_to_clean_l10h9,clean_anchor_mass_to_clean_l10h9_top3,ablated_anchor_mass_to_clean_l10h9_top3,delta_anchor_mass_to_clean_l10h9_top3,keydist_jsd,is_known_anchor_head
2B61A,full,2.0,0,0,L0H0,1.0032891035079956,0.0032891035079956055,0.013196445070207119,0.013196445070207119,0.0,0.9941714222215253,0.9941714222215253,0.06565313786268234,0.06565313786268234,0.0,0.006813831627368927,0.006813831627368927,0.0,0.0,False
2B61A,full,2.0,0,1,L0H1,1.0032891035079956,0.0032891035079956055,0.008918752893805504,0.008918752893805504,0.0,0.9997666010961921,0.9997666010961921,0.08137471228837967,0.08137471228837967,0.0,0.007937171496450901,0.007937171496450901,0.0,0.0,False
2B61A,full,2.0,0,2,L0H2,1.0032891035079956,0.0032891035079956055,0.008530670776963234,0.008530670776963234,0.0,0.9999105700897806,0.9999105700897806,0.08256664872169495,0.08256664872169495,0.0,0.007994216866791248,0.007994216866791248,0.0,0.0,False
2B61A,full,2.0,0,3,L0H3,1.0032891035079956,0.0032891035079956055,0.01456858217716217,0.01456858217716217,0.0,0.9965084668829287,0.9965084668829287,0.07673605531454086,0.07673605531454086,0.0,0.007884669117629528,0.007884669117629528,0.0,0.0,False
2B61A,full,2.0,0,4,L0H4,1.0032891035079956,0.0032891035079956055,0.008951601572334766,0.008951601572334766,0.0,0.9998365798330138,0.9998365798330138,0.07865544408559799,0.07865544408559799,0.0,0.00762083288282156,0.00762083288282156,0.0,0.0,False
2B61A,full,2.0,0,5,L0H5,1.0032891035079956,0.0032891035079956055,0.010337200947105885,0.010337200947105885,0.0,0.9984240790878677,0.9984240790878677,0.08824141323566437,0.08824141323566437,0.0,0.008563223294913769,0.008563223294913769,0.0,0.0,False
2B61A,full,2.0,0,6,L0H6,1.0032891035079956,0.0032891035079956055,0.010104342363774776,0.010104342363774776,0.0,0.999138909655879,0.999138909655879,0.0838029608130455,0.0838029608130455,0.0,0.00769397197291255,0.00769397197291255,0.0,0.0,False
2B61A,full,2.0,0,7,L0H7,1.0032891035079956,0.0032891035079956055,0.021153099834918976,0.021153099834918976,0.0,0.9858438411086347,0.9858438411086347,0.06495775282382965,0.06495775282382965,0.0,0.009079810231924057,0.009079810231924057,0.0,0.0,False
2B61A,full,2.0,0,8,L0H8,1.0032891035079956,0.0032891035079956055,0.012197074480354786,0.012197074480354786,0.0,0.9950889459778786,0.9950889459778786,0.07316242158412933,0.07316242158412933,0.0,0.0058320374228060246,0.0058320374228060246,0.0,0.0,False
2B61A,full,2.0,0,9,L0H9,1.0032891035079956,0.0032891035079956055,0.012759987264871597,0.012759987264871597,0.0,0.9950789171780156,0.9950789171780156,0.07724155485630035,0.07724155485630035,0.0,0.008311422541737556,0.008311422541737556,0.0,0.0,False
2B61A,full,2.0,0,10,L0H10,1.0032891035079956,0.0032891035079956055,0.008656004443764687,0.008656004443764687,0.0,0.9999437765604381,0.9999437765604381,0.08036668598651886,0.08036668598651886,0.0,0.007832787930965424,0.007832787930965424,0.0,0.0,False
2B61A,full,2.0,0,11,L0H11,1.0032891035079956,0.0032891035079956055,0.014475835487246513,0.014475835487246513,0.0,0.9940087328015259,0.9940087328015259,0.06376295536756516,0.06376295536756516,0.0,0.007653957232832909,0.007653957232832909,0.0,0.0,False
2B61A,full,2.0,0,12,L0H12,1.0032891035079956,0.0032891035079956055,0.02971719764173031,0.02971719764173031,0.0,0.9398868657365242,0.9398868657365242,0.03236960992217064,0.03236960992217064,0.0,0.004073388408869505,0.004073388408869505,0.0,0.0,False
2B61A,full,2.0,0,13,L0H13,1.0032891035079956,0.0032891035079956055,0.00910726748406887,0.00910726748406887,0.0,0.9998199765976851,0.9998199765976851,0.08051589131355286,0.08051589131355286,0.0,0.007683443836867809,0.007683443836867809,0.0,0.0,False
2B61A,full,2.0,0,14,L0H14,1.0032891035079956,0.0032891035079956055,0.012270109727978706,0.012270109727978706,0.0,0.9957873961727803,0.9957873961727803,0.0898030549287796,0.0898030549287796,0.0,0.009115828201174736,0.009115828201174736,0.0,0.0,False
2B61A,full,2.0,0,15,L0H15,1.0032891035079956,0.0032891035079956055,0.008307250216603279,0.008307250216603279,0.0,0.9999792116532873,0.9999792116532873,0.08167732506990433,0.08167732506990433,0.0,0.007852492853999138,0.007852492853999138,0.0,0.0,False
2B61A,full,2.0,0,16,L0H16,1.0032891035079956,0.0032891035079956055,0.011166643351316452,0.011166643351316452,0.0,0.9950809229379881,0.9950809229379881,0.07799730449914932,0.07799730449914932,0.0,0.0078033688478171825,0.0078033688478171825,0.0,0.0,False
2B61A,full,2.0,0,17,L0H17,1.0032891035079956,0.0032891035079956055,0.009305717423558235,0.009305717423558235,0.0,0.9998940782855615,0.9998940782855615,0.08146499842405319,0.08146499842405319,0.0,0.007754050195217133,0.007754050195217133,0.0,0.0,False
2B61A,full,2.0,0,18,L0H18,1.0032891035079956,0.0032891035079956055,0.017827214673161507,0.017827214673161507,0.0,0.9933570836726513,0.9933570836726513,0.05646423622965813,0.05646423622965813,0.0,0.006326270755380392,0.006326270755380392,0.0,0.0,False
2B61A,full,2.0,0,19,L0H19,1.0032891035079956,0.0032891035079956055,0.01453515887260437,0.01453515887260437,0.0,0.9917910308584921,0.9917910308584921,0.08209527283906937,0.08209527283906937,0.0,0.00755227031186223,0.00755227031186223,0.0,0.0,False
