n,top1_col,top1_conc,tol2_conc,topk_exact_conc,topk_tol2_conc,entropy_norm,msa_set,group,label
7,568,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam,PF00106
7,662,0.8571428571428571,0.8571428571428571,1.0,1.0,0.05707644103193527,ALL,pfam,PF00107
9,263,0.3333333333333333,0.8888888888888888,0.3333333333333333,1.0,0.18242353198978417,ALL,pfam,PF00561
8,784,0.375,0.375,0.625,0.625,0.18382981185024236,ALL,pfam,PF00756
2,567,0.5,0.5,1.0,1.0,0.09646622778355032,ALL,pfam,PF01370
4,637,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam,PF01408
0,-1,,,,,,ALL,pfam,PF07679
7,1103,0.8571428571428571,0.8571428571428571,1.0,1.0,0.05707644103193527,ALL,pfam,PF07686
7,784,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam,PF07859
3,662,0.6666666666666666,0.6666666666666666,1.0,1.0,0.08858453510056297,ALL,pfam,PF08240
8,263,0.375,0.75,0.5,0.875,0.2079463687960603,ALL,pfam,PF12697
4,568,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam,PF13561
10,1103,0.6,0.7,0.7,0.9,0.170836923437875,ALL,hsf,2.60.40.10
32,784,0.34375,0.34375,0.875,0.875,0.23793003847819713,ALL,hsf,3.40.50.1820
27,568,0.4074074074074074,0.4444444444444444,0.4074074074074074,0.48148148148148145,0.20125075537169196,ALL,hsf,3.40.50.720
69,568,0.15942028985507245,0.17391304347826086,0.15942028985507245,0.3333333333333333,0.35350170368323147,ALL,set,ALL
11,568,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam_pair,PF13561|PF00106
6,568,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,0.12073994436170002,ALL,pfam_pair,PF13561|PF01370
11,662,0.5454545454545454,0.5454545454545454,0.6363636363636364,1.0,0.12754565391526676,ALL,pfam_pair,PF13561|PF00107
7,568,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.13300604254680293,ALL,pfam_pair,PF13561|PF08240
8,568,0.5,0.5,0.5,0.5,0.09646622778355032,ALL,pfam_pair,PF13561|PF01408
13,568,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.21219558385916418,ALL,pfam_pair,PF13561|PF00561
12,568,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.227215447631177,ALL,pfam_pair,PF13561|PF12697
11,784,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0912242823494518,ALL,pfam_pair,PF13561|PF07859
12,568,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.2111377430006781,ALL,pfam_pair,PF13561|PF00756
7,568,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.16056782191347196,ALL,pfam_pair,PF13561|PF00041
11,1103,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.12754565391526676,ALL,pfam_pair,PF13561|PF07686
4,568,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam_pair,PF13561|PF07679
9,568,0.7777777777777778,0.8888888888888888,0.7777777777777778,1.0,0.0951568655053889,ALL,pfam_pair,PF00106|PF01370
14,568,0.5,0.5,0.5,0.5,0.12500444829951798,ALL,pfam_pair,PF00106|PF00107
10,568,0.7,0.7,0.7,0.7,0.11159016915883807,ALL,pfam_pair,PF00106|PF08240
11,568,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0912242823494518,ALL,pfam_pair,PF00106|PF01408
16,568,0.4375,0.4375,0.4375,0.5625,0.19798933907356572,ALL,pfam_pair,PF00106|PF00561
15,568,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.2070614586478565,ALL,pfam_pair,PF00106|PF12697
14,568,0.5,0.5,0.5,0.9285714285714286,0.09646622778355032,ALL,pfam_pair,PF00106|PF07859
