n,top1_col,top1_conc,tol2_conc,topk_exact_conc,topk_tol2_conc,entropy_norm,msa_set,group,label
24,1103,0.3333333333333333,0.4166666666666667,0.5416666666666666,0.7083333333333334,0.2593708568920357,ALL,hsf,2.60.40.10
39,784,0.358974358974359,0.358974358974359,0.8717948717948718,0.8974358974358975,0.23486660836013204,ALL,hsf,3.40.50.1820
60,568,0.31666666666666665,0.43333333333333335,0.31666666666666665,0.5,0.24837432523946423,ALL,hsf,3.40.50.720
123,568,0.15447154471544716,0.21138211382113822,0.15447154471544716,0.34146341463414637,0.39003138839758417,ALL,set,ALL
20,568,0.95,0.95,0.95,1.0,0.0276276341014649,ALL,pfam_pair,PF13561|PF00106
20,568,0.5,0.85,0.5,1.0,0.13897363209791275,ALL,pfam_pair,PF13561|PF01370
20,568,0.5,0.5,0.5,0.5,0.13128706780588603,ALL,pfam_pair,PF13561|PF00107
20,568,0.5,0.5,0.5,0.5,0.1432981983891651,ALL,pfam_pair,PF13561|PF08240
20,568,0.5,0.5,0.5,0.5,0.13128706780588603,ALL,pfam_pair,PF13561|PF01408
20,568,0.5,0.5,0.5,0.6,0.18552574698916158,ALL,pfam_pair,PF13561|PF00561
20,568,0.5,0.5,0.5,0.55,0.2011779350590448,ALL,pfam_pair,PF13561|PF12697
20,568,0.5,0.5,0.5,0.9,0.11908734566380892,ALL,pfam_pair,PF13561|PF07859
19,568,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.1865172194149672,ALL,pfam_pair,PF13561|PF00756
16,568,0.625,0.625,0.625,0.625,0.1735229624846859,ALL,pfam_pair,PF13561|PF00041
20,568,0.5,0.5,0.5,0.5,0.13897363209791275,ALL,pfam_pair,PF13561|PF07686
18,568,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.18802597729273218,ALL,pfam_pair,PF13561|PF07679
20,568,0.45,0.8,0.45,1.0,0.16159474997817133,ALL,pfam_pair,PF00106|PF01370
20,568,0.45,0.45,0.45,0.5,0.15390818568614462,ALL,pfam_pair,PF00106|PF00107
20,568,0.45,0.45,0.45,0.5,0.1659193162694237,ALL,pfam_pair,PF00106|PF08240
20,568,0.45,0.45,0.45,0.5,0.15390818568614462,ALL,pfam_pair,PF00106|PF01408
20,568,0.45,0.45,0.45,0.6,0.20814686486942016,ALL,pfam_pair,PF00106|PF00561
20,568,0.45,0.45,0.45,0.55,0.22379905293930336,ALL,pfam_pair,PF00106|PF12697
20,568,0.45,0.45,0.45,0.9,0.14170846354406752,ALL,pfam_pair,PF00106|PF07859
19,568,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5789473684210527,0.21032892244682566,ALL,pfam_pair,PF00106|PF00756
16,568,0.5625,0.5625,0.5625,0.625,0.2017993598350439,ALL,pfam_pair,PF00106|PF00041
